time_to_first_target,time_to_all_targets,robot_0_distance,robot_1_distance,robot_2_distance,robot_3_distance,robot_4_distance,cumulative_distance,map_coverage_pct,redundant_search_pct,coverage_over_time
133.20,,2.58,49.21,34.61,42.73,26.82,155.96,90.23,54.09,"[[1.0, 7.52], [2.0, 7.52], [3.0, 7.52], [4.0, 7.52], [5.0, 7.52], [6.0, 7.52], [7.0, 7.52], [8.0, 7.52], [9.0, 7.52], [10.0, 7.52], [11.0, 7.52], [12.0, 7.52], [13.0, 7.52], [14.0, 7.52], [15.0, 7.52], [16.0, 7.52], [17.0, 7.52], [18.0, 7.52], [19.0, 7.52], [20.0, 7.52], [21.0, 7.52], [22.0, 7.52], [23.0, 7.52], [24.0, 7.52], [25.1, 7.52], [26.1, 7.52], [27.0, 7.52], [28.1, 7.52], [29.0, 7.52], [30.0, 7.52], [31.0, 7.52], [32.0, 7.52], [33.0, 7.52], [34.0, 7.52], [35.0, 7.52], [36.0, 7.52], [37.0, 7.52], [38.0, 7.52], [39.0, 7.52], [40.0, 7.52], [41.0, 7.52], [42.0, 7.52], [43.0, 7.52], [44.0, 7.52], [45.0, 7.52], [46.0, 7.52], [47.0, 7.52], [48.0, 7.52], [49.0, 7.52], [50.0, 7.52], [51.0, 7.52], [52.0, 7.52], [53.0, 7.52], [54.0, 7.52], [55.0, 7.52], [56.0, 7.52], [57.0, 7.52], [58.0, 7.52], [59.0, 7.52], [60.0, 7.52], [61.0, 7.52], [62.0, 7.52], [63.0, 7.52], [64.0, 7.52], [65.0, 7.52], [66.0, 7.52], [67.0, 7.52], [68.0, 7.52], [69.0, 7.52], [70.0, 7.52], [71.0, 7.52], [72.0, 7.52], [73.0, 7.52], [74.0, 7.52], [75.0, 7.52], [76.0, 7.52], [77.0, 7.52], [78.0, 7.85], [79.0, 8.81], [80.0, 9.11], [81.0, 9.62], [82.0, 10.46], [83.0, 11.73], [84.0, 13.27], [85.0, 14.23], [86.0, 15.11], [87.0, 16.17], [88.0, 17.22], [89.0, 18.17], [90.0, 19.17], [91.0, 20.22], [92.0, 21.53], [93.0, 23.0], [94.0, 25.16], [95.0, 27.2], [96.0, 28.76], [97.0, 30.05], [98.0, 31.62], [99.0, 33.25], [100.0, 34.61], [101.0, 35.76], [102.0, 37.13], [103.0, 38.65], [104.0, 39.87], [105.0, 40.85], [106.0, 41.9], [107.0, 43.0], [108.0, 43.99], [109.0, 44.73], [110.0, 45.51], [111.0, 46.26], [112.0, 47.01], [113.0, 47.45], [114.0, 47.97], [115.0, 48.6], [116.0, 49.98], [117.0, 50.33], [118.0, 50.64], [119.0, 51.01], [120.0, 51.58], [121.0, 52.08], [122.0, 52.54], [123.0, 53.2], [124.0, 54.04], [125.0, 55.18], [126.0, 56.7], [127.0, 58.3], [128.0, 59.71], [129.0, 61.09], [130.0, 62.38], [131.0, 63.54], [132.0, 64.8], [133.0, 65.98], [134.0, 66.72], [135.0, 67.3], [136.0, 68.17], [137.0, 69.84], [138.0, 70.19], [139.0, 70.27], [140.0, 70.35], [141.0, 70.38], [142.0, 70.39], [143.0, 70.4], [144.0, 70.4], [145.0, 70.41], [146.0, 70.42], [147.0, 70.46], [148.0, 70.51], [149.0, 70.51], [150.0, 70.51], [151.0, 70.51], [152.0, 70.56], [153.0, 70.59], [154.0, 70.62], [155.0, 70.62], [156.0, 70.63], [157.0, 70.73], [158.0, 70.84], [159.0, 70.97], [160.0, 71.31], [161.0, 72.24], [162.0, 73.59], [163.0, 74.93], [164.0, 75.76], [165.0, 76.61], [166.0, 77.41], [167.0, 78.05], [168.0, 78.32], [169.0, 78.46], [170.0, 78.56], [171.0, 78.62], [172.0, 78.62], [173.0, 78.62], [174.0, 78.69], [175.0, 78.69], [176.0, 78.79], [177.0, 78.94], [178.0, 79.17], [179.0, 79.41], [180.0, 79.52], [181.0, 79.71], [182.0, 79.89], [183.0, 80.18], [184.0, 80.53], [185.0, 80.96], [186.0, 81.5], [187.0, 82.21], [188.0, 82.98], [189.0, 83.77], [190.0, 84.52], [191.0, 85.09], [192.0, 85.26], [193.0, 85.34], [194.0, 85.51], [195.0, 85.55], [196.0, 85.82], [197.0, 86.37], [198.0, 86.98], [199.0, 87.65], [200.0, 88.24], [201.0, 88.88], [202.0, 89.57], [203.0, 89.95], [204.0, 90.11], [205.0, 90.17], [206.0, 90.2], [207.0, 90.23], [208.0, 90.23], [209.0, 90.23], [210.0, 90.23], [211.0, 90.23], [212.0, 90.23], [213.0, 90.23], [214.0, 90.23], [215.0, 90.23], [216.0, 90.23], [217.0, 90.23], [218.0, 90.23], [219.0, 90.23], [220.0, 90.23], [221.0, 90.23], [222.0, 90.23], [223.0, 90.23], [224.0, 90.23], [225.0, 90.23], [226.0, 90.23], [227.0, 90.23], [228.0, 90.23], [229.0, 90.23], [230.0, 90.23], [231.0, 90.23], [232.0, 90.23], [233.0, 90.23], [234.0, 90.23], [235.0, 90.23], [236.0, 90.23], [237.0, 90.23], [238.0, 90.23], [239.0, 90.23], [240.0, 90.23], [241.0, 90.23], [242.0, 90.23], [243.0, 90.23], [244.0, 90.23], [245.0, 90.23], [246.0, 90.23], [247.0, 90.23], [248.0, 90.23], [249.0, 90.23], [250.0, 90.23], [251.0, 90.23], [252.0, 90.23], [253.0, 90.23], [254.0, 90.23], [255.0, 90.23], [256.0, 90.23], [257.0, 90.23], [258.0, 90.23], [259.0, 90.23], [260.0, 90.23], [261.0, 90.23], [262.0, 90.23], [263.0, 90.23], [264.0, 90.23], [265.0, 90.23], [266.0, 90.23], [267.0, 90.23], [268.0, 90.23], [269.0, 90.23], [270.0, 90.23], [271.0, 90.23], [272.0, 90.23], [273.0, 90.23], [274.0, 90.23], [275.0, 90.23], [276.0, 90.23], [277.0, 90.23], [278.0, 90.23], [279.0, 90.23], [280.0, 90.23], [281.0, 90.23], [282.0, 90.23], [283.0, 90.23], [284.0, 90.23], [285.0, 90.23], [286.0, 90.23], [287.0, 90.23], [288.0, 90.23], [289.0, 90.23], [290.0, 90.23], [291.0, 90.23], [292.0, 90.23], [293.0, 90.23], [294.0, 90.23], [295.0, 90.23], [296.0, 90.23], [297.0, 90.23], [298.0, 90.23], [299.0, 90.23], [300.0, 90.23], [301.0, 90.23], [302.0, 90.23], [303.0, 90.23], [304.0, 90.23]]"
156.60,244.60,14.67,39.51,37.49,22.70,46.50,160.87,91.91,44.34,"[[1.0, 5.81], [2.0, 5.81], [3.0, 5.81], [4.0, 5.81], [5.0, 5.81], [6.0, 5.81], [7.0, 5.81], [8.0, 5.81], [9.0, 5.81], [10.0, 5.81], [11.3, 5.81], [12.0, 5.81], [13.0, 5.81], [14.0, 5.81], [15.0, 5.81], [16.0, 5.81], [17.0, 5.81], [18.0, 5.81], [19.0, 5.81], [20.0, 5.81], [21.0, 5.81], [22.0, 5.81], [23.0, 5.81], [24.0, 5.81], [25.1, 5.81], [26.0, 5.81], [27.0, 5.81], [28.0, 5.81], [29.0, 5.81], [30.0, 5.81], [31.0, 5.81], [32.0, 5.81], [33.0, 5.81], [34.0, 5.81], [35.0, 5.81], [36.0, 5.81], [37.0, 5.81], [38.0, 5.81], [39.0, 5.81], [40.0, 5.81], [41.0, 5.81], [42.0, 5.81], [43.0, 5.81], [44.0, 5.81], [45.0, 5.81], [46.0, 5.81], [47.0, 5.81], [48.0, 5.81], [49.0, 5.81], [50.0, 5.81], [51.0, 5.81], [52.0, 5.81], [53.0, 5.81], [54.0, 5.81], [55.0, 5.81], [56.0, 5.81], [57.0, 5.81], [58.0, 5.81], [59.0, 5.81], [60.0, 5.81], [61.0, 5.81], [62.0, 5.81], [63.0, 5.81], [64.0, 5.81], [65.0, 5.81], [66.0, 5.81], [67.0, 5.81], [68.0, 5.81], [69.0, 5.81], [70.0, 5.81], [71.0, 5.81], [72.0, 5.81], [73.0, 5.81], [74.0, 5.81], [75.0, 5.81], [76.0, 5.81], [77.0, 5.81], [78.0, 5.81], [79.0, 5.81], [80.0, 5.81], [81.0, 5.81], [82.0, 5.81], [83.0, 5.81], [84.0, 5.81], [85.0, 5.81], [86.0, 5.81], [87.0, 5.81], [88.0, 5.81], [89.0, 5.81], [90.0, 5.81], [91.0, 5.81], [92.0, 5.81], [93.0, 5.81], [94.0, 5.81], [95.0, 5.81], [96.0, 5.81], [97.0, 5.81], [98.0, 5.81], [99.0, 6.64], [100.0, 7.3], [101.0, 8.91], [102.0, 9.99], [103.0, 10.76], [104.0, 11.85], [105.0, 13.37], [106.0, 14.1], [107.0, 14.71], [108.0, 15.45], [109.0, 16.1], [110.0, 16.59], [111.0, 17.1], [112.0, 17.63], [113.0, 18.14], [114.0, 18.63], [115.0, 19.15], [116.0, 19.69], [117.0, 20.37], [118.0, 21.29], [119.0, 22.52], [120.0, 23.98], [121.0, 25.53], [122.0, 26.98], [123.0, 27.92], [124.0, 28.76], [125.0, 29.74], [126.0, 30.73], [127.0, 31.83], [128.0, 32.89], [129.0, 33.79], [130.0, 34.43], [131.0, 35.02], [132.0, 35.5], [133.0, 36.01], [134.0, 36.59], [135.0, 37.25], [136.0, 37.57], [137.0, 37.94], [138.0, 38.33], [139.0, 38.7], [140.0, 39.07], [141.0, 39.53], [142.0, 40.13], [143.0, 40.82], [144.0, 41.37], [145.0, 41.9], [146.0, 42.48], [147.0, 43.07], [148.0, 44.14], [149.0, 44.92], [150.0, 46.23], [151.0, 47.61], [152.0, 49.47], [153.0, 51.56], [154.0, 53.36], [155.0, 54.81], [156.0, 56.45], [157.0, 58.01], [158.0, 59.27], [159.0, 60.02], [160.0, 60.41], [161.0, 60.78], [162.0, 61.09], [163.0, 61.35], [164.0, 61.48], [165.0, 61.54], [166.0, 61.56], [167.0, 61.58], [168.0, 61.63], [169.0, 61.76], [170.0, 61.95], [171.0, 62.23], [172.0, 62.52], [173.0, 62.87], [174.0, 63.13], [175.0, 63.37], [176.0, 63.73], [177.0, 64.74], [178.0, 65.28], [179.0, 65.51], [180.0, 65.82], [181.0, 66.24], [182.0, 66.76], [183.0, 67.15], [184.0, 67.56], [185.0, 68.02], [186.0, 68.74], [187.0, 69.93], [188.0, 71.08], [189.0, 71.93], [190.0, 72.47], [191.0, 73.2], [192.0, 73.79], [193.0, 74.54], [194.0, 75.38], [195.0, 76.09], [196.0, 76.56], [197.0, 77.03], [198.0, 77.4], [199.0, 77.68], [200.0, 77.94], [201.0, 78.46], [202.0, 79.35], [203.0, 79.6], [204.0, 79.81], [205.0, 80.16], [206.0, 80.46], [207.0, 80.79], [208.0, 81.15], [209.0, 81.53], [210.0, 81.91], [211.0, 82.07], [212.0, 82.17], [213.0, 82.22], [214.0, 82.31], [215.0, 82.6], [216.0, 83.18], [217.0, 84.03], [218.0, 84.41], [219.0, 84.55], [220.0, 85.22], [221.0, 85.53], [222.0, 85.63], [223.0, 85.69], [224.0, 85.85], [225.0, 86.08], [226.0, 86.29], [227.0, 86.53], [228.0, 86.77], [229.0, 87.0], [230.0, 87.22], [231.0, 87.47], [232.0, 87.82], [233.0, 88.16], [234.0, 88.51], [235.0, 88.85], [236.0, 89.27], [237.0, 89.78], [238.0, 90.25], [239.0, 90.82], [240.0, 91.32], [241.0, 91.45], [242.0, 91.57], [243.0, 91.71], [244.0, 91.91]]"
119.30,128.90,12.35,18.75,15.25,15.68,16.48,78.52,39.67,66.56,"[[1.0, 6.56], [2.0, 6.56], [3.0, 6.56], [4.0, 6.56], [5.0, 6.56], [6.0, 6.56], [7.0, 6.56], [8.0, 6.56], [9.0, 6.56], [10.0, 6.56], [11.0, 6.56], [12.0, 6.56], [13.0, 6.56], [14.0, 6.56], [15.0, 6.56], [16.0, 6.56], [17.0, 6.56], [18.0, 6.56], [19.0, 6.56], [20.0, 6.56], [21.0, 6.56], [22.0, 6.56], [23.0, 6.56], [24.0, 6.56], [25.0, 6.56], [26.1, 6.56], [27.0, 6.56], [28.0, 6.56], [29.0, 6.56], [30.0, 6.56], [31.0, 6.56], [32.0, 6.56], [33.0, 6.56], [34.0, 6.56], [35.0, 6.56], [36.0, 6.56], [37.0, 6.56], [38.0, 6.56], [39.0, 6.56], [40.0, 6.56], [41.0, 6.56], [42.0, 6.56], [43.0, 6.56], [44.0, 6.56], [45.0, 6.56], [46.0, 6.56], [47.0, 6.56], [48.0, 6.56], [49.0, 6.56], [50.0, 6.56], [51.0, 6.56], [52.0, 6.56], [53.0, 6.56], [54.0, 6.56], [55.0, 6.56], [56.0, 6.56], [57.0, 6.56], [58.0, 6.56], [59.0, 6.56], [60.0, 6.56], [61.0, 6.56], [62.0, 6.56], [63.0, 6.56], [64.0, 6.56], [65.0, 6.56], [66.0, 6.56], [67.0, 6.56], [68.0, 6.56], [69.0, 6.56], [70.0, 6.56], [71.0, 6.56], [72.0, 6.56], [73.0, 6.56], [74.0, 6.56], [75.0, 6.56], [76.0, 6.56], [77.0, 6.56], [78.0, 6.56], [79.0, 6.56], [80.0, 6.56], [81.0, 6.56], [82.0, 6.56], [83.0, 6.56], [84.0, 6.56], [85.0, 6.56], [86.0, 6.56], [87.0, 6.56], [88.0, 7.4], [89.0, 8.01], [90.0, 8.62], [91.0, 9.06], [92.0, 9.35], [93.0, 9.63], [94.0, 10.01], [95.0, 10.41], [96.0, 10.94], [97.0, 11.64], [98.0, 13.07], [99.0, 13.99], [100.0, 14.24], [101.0, 14.53], [102.0, 14.72], [103.0, 15.09], [104.0, 15.6], [105.0, 16.06], [106.0, 16.62], [107.0, 17.33], [108.0, 18.37], [109.0, 19.41], [110.0, 19.78], [111.0, 20.13], [112.0, 20.62], [113.0, 21.66], [114.0, 22.22], [115.0, 22.87], [116.0, 23.58], [117.0, 24.34], [118.0, 25.11], [119.0, 25.86], [120.0, 26.66], [121.0, 27.56], [122.0, 28.72], [123.0, 30.52], [124.0, 32.48], [125.0, 34.28], [126.0, 35.88], [127.0, 37.92], [128.0, 39.67]]"
107.30,108.40,9.22,12.77,8.41,11.28,8.36,50.04,27.11,68.48,"[[1.0, 7.64], [2.0, 7.64], [3.0, 7.64], [4.0, 7.64], [5.0, 7.64], [6.0, 7.64], [7.0, 7.64], [8.0, 7.64], [9.0, 7.64], [10.0, 7.64], [11.0, 7.64], [12.0, 7.64], [13.0, 7.64], [14.0, 7.64], [15.0, 7.64], [16.0, 7.64], [17.0, 7.64], [18.0, 7.64], [19.0, 7.64], [20.0, 7.64], [21.0, 7.64], [22.0, 7.64], [23.0, 7.64], [24.0, 7.64], [25.0, 7.64], [26.1, 7.64], [27.0, 7.64], [28.0, 7.64], [29.0, 7.64], [30.0, 7.64], [31.0, 7.64], [32.0, 7.64], [33.0, 7.64], [34.0, 7.64], [35.0, 7.64], [36.0, 7.64], [37.0, 7.64], [38.0, 7.64], [39.0, 7.64], [40.0, 7.64], [41.0, 7.64], [42.0, 7.64], [43.0, 7.64], [44.0, 7.64], [45.0, 7.64], [46.0, 7.64], [47.0, 7.64], [48.0, 7.64], [49.0, 7.64], [50.0, 7.64], [51.0, 7.64], [52.0, 7.64], [53.0, 7.64], [54.0, 7.64], [55.0, 7.64], [56.0, 7.64], [57.0, 7.64], [58.0, 7.64], [59.0, 7.64], [60.0, 7.64], [61.0, 7.64], [62.0, 7.64], [63.0, 7.64], [64.0, 7.64], [65.0, 7.64], [66.0, 7.64], [67.0, 7.64], [68.0, 7.64], [69.0, 7.64], [70.0, 7.64], [71.0, 7.64], [72.0, 7.64], [73.0, 7.64], [74.0, 7.64], [75.0, 7.64], [76.0, 7.66], [77.0, 8.62], [78.0, 9.28], [79.0, 9.59], [80.0, 9.71], [81.0, 9.92], [82.0, 10.24], [83.0, 10.82], [84.0, 11.74], [85.0, 13.15], [86.0, 13.7], [87.0, 13.89], [88.0, 14.21], [89.0, 14.76], [90.0, 15.32], [91.0, 15.75], [92.0, 16.09], [93.0, 16.39], [94.0, 16.85], [95.0, 17.59], [96.0, 18.07], [97.0, 18.39], [98.0, 18.56], [99.0, 18.87], [100.0, 19.21], [101.0, 19.65], [102.0, 20.25], [103.0, 21.05], [104.0, 22.49], [105.0, 24.26], [106.0, 25.65], [107.0, 26.4], [108.0, 27.11]]"
-0.40,120.90,17.20,13.23,16.46,16.09,15.95,78.93,56.54,43.28,"[[1.0, 7.62], [2.0, 7.62], [3.0, 7.62], [4.0, 7.62], [5.0, 7.62], [6.0, 7.62], [7.0, 7.62], [8.0, 7.62], [9.0, 7.62], [10.0, 7.62], [11.0, 7.62], [12.0, 7.62], [13.0, 7.62], [14.0, 7.62], [15.0, 7.62], [16.0, 7.62], [17.0, 7.62], [18.0, 7.62], [19.0, 7.62], [20.0, 7.62], [21.1, 7.62], [22.0, 7.62], [23.0, 7.62], [24.0, 7.62], [25.0, 7.62], [26.0, 7.62], [27.0, 7.62], [28.0, 7.62], [29.0, 7.62], [30.1, 7.62], [31.0, 7.62], [32.0, 7.62], [33.1, 7.62], [34.1, 7.62], [35.0, 7.62], [36.0, 7.62], [37.0, 7.62], [38.0, 7.62], [39.0, 7.62], [40.0, 7.62], [41.0, 7.62], [42.0, 7.62], [43.0, 7.62], [44.0, 7.62], [45.0, 7.62], [46.0, 7.62], [47.0, 7.62], [48.0, 7.62], [49.0, 7.62], [50.0, 7.62], [51.0, 7.62], [52.0, 7.62], [53.0, 7.62], [54.0, 7.62], [55.0, 7.62], [56.0, 7.62], [57.0, 7.62], [58.0, 7.62], [59.0, 7.62], [60.0, 7.62], [61.0, 7.62], [62.0, 7.62], [63.0, 7.62], [64.0, 7.62], [65.0, 7.62], [66.0, 7.62], [67.0, 7.62], [68.0, 7.62], [69.0, 7.62], [70.0, 7.62], [71.0, 7.62], [72.0, 7.62], [73.0, 7.62], [74.0, 7.62], [75.0, 7.62], [76.0, 7.62], [77.0, 7.62], [78.0, 7.62], [79.0, 7.62], [80.0, 8.43], [81.0, 8.85], [82.0, 9.18], [83.0, 9.98], [84.0, 11.24], [85.0, 12.93], [86.0, 14.91], [87.0, 16.26], [88.0, 17.56], [89.0, 18.77], [90.0, 19.94], [91.0, 21.03], [92.0, 22.01], [93.0, 23.27], [94.0, 24.74], [95.0, 26.45], [96.0, 28.33], [97.0, 29.68], [98.0, 30.91], [99.0, 32.31], [100.0, 33.4], [101.0, 34.27], [102.0, 35.17], [103.0, 35.98], [104.0, 37.03], [105.0, 37.81], [106.0, 38.72], [107.0, 39.65], [108.0, 40.77], [109.0, 42.54], [110.0, 43.96], [111.0, 44.9], [112.0, 46.71], [113.0, 48.47], [114.0, 49.6], [115.0, 50.89], [116.0, 52.68], [117.0, 54.09], [118.0, 54.91], [119.0, 55.65], [120.0, 56.54]]"
