time_to_first_target,time_to_all_targets,robot_0_distance,robot_1_distance,robot_2_distance,cumulative_distance,map_coverage_pct,redundant_search_pct,coverage_over_time
78.00,131.40,46.70,38.61,34.58,119.89,68.09,48.16,"[[1.0, 6.75], [2.0, 6.75], [3.0, 6.75], [4.0, 6.75], [5.0, 7.54], [6.0, 8.02], [7.0, 8.35], [8.0, 8.47], [9.0, 8.48], [10.0, 8.48], [11.0, 8.62], [12.0, 8.72], [13.0, 8.77], [14.0, 8.84], [15.0, 8.86], [16.0, 8.93], [17.0, 9.14], [18.0, 9.67], [19.0, 10.39], [20.0, 10.52], [21.0, 10.53], [22.0, 10.63], [23.0, 10.74], [24.0, 10.77], [25.0, 10.84], [26.0, 11.05], [27.0, 11.36], [28.0, 11.76], [29.0, 12.18], [30.0, 12.64], [31.0, 12.68], [32.0, 12.73], [33.0, 12.74], [34.0, 12.9], [35.0, 12.91], [36.0, 12.95], [37.0, 12.95], [38.0, 13.18], [39.0, 13.57], [40.0, 13.94], [41.0, 14.51], [42.0, 15.44], [43.0, 15.75], [44.0, 16.06], [45.0, 16.42], [46.0, 16.76], [47.0, 17.06], [48.0, 17.39], [49.0, 17.71], [50.0, 18.56], [51.0, 19.87], [52.0, 20.7], [53.0, 21.56], [54.0, 22.37], [55.0, 23.18], [56.0, 24.13], [57.0, 25.02], [58.0, 25.99], [59.0, 27.1], [60.0, 29.17], [61.0, 30.58], [62.0, 31.71], [63.0, 32.63], [64.0, 33.43], [65.0, 34.25], [66.0, 35.01], [67.0, 35.71], [68.0, 36.53], [69.0, 38.3], [70.0, 40.34], [71.0, 41.52], [72.0, 42.64], [73.0, 43.38], [74.0, 44.08], [75.0, 45.28], [76.0, 45.72], [77.0, 46.28], [78.0, 46.97], [79.0, 47.92], [80.0, 49.47], [81.0, 51.54], [82.0, 52.93], [83.0, 53.84], [84.0, 54.8], [85.0, 55.58], [86.0, 55.98], [87.0, 56.1], [88.0, 56.15], [89.0, 56.24], [90.0, 56.42], [91.0, 56.69], [92.0, 57.35], [93.0, 57.75], [94.0, 57.89], [95.0, 58.06], [96.0, 58.14], [97.0, 58.26], [98.0, 58.27], [99.0, 58.38], [100.0, 58.64], [101.0, 58.92], [102.0, 59.25], [103.0, 59.76], [104.0, 60.3], [105.0, 60.92], [106.0, 61.54], [107.0, 62.2], [108.0, 62.75], [109.0, 62.77], [110.0, 62.77], [111.0, 62.77], [112.0, 63.0], [113.0, 63.3], [114.0, 63.45], [115.0, 63.57], [116.0, 63.74], [117.0, 64.05], [118.0, 64.52], [119.0, 64.89], [120.0, 65.19], [121.0, 65.38], [122.0, 65.57], [123.0, 65.7], [124.0, 65.8], [125.0, 65.89], [126.0, 65.93], [127.0, 66.01], [128.0, 66.43], [129.2, 66.83], [130.0, 67.63], [131.0, 68.09]]"
-0.10,287.40,73.22,71.30,104.30,248.82,80.76,49.64,"[[1.0, 4.68], [2.0, 4.68], [3.0, 4.68], [4.0, 4.68], [5.0, 5.64], [6.0, 6.68], [7.0, 7.6], [8.0, 8.41], [9.0, 9.05], [10.0, 9.65], [11.0, 10.02], [12.0, 10.48], [13.0, 10.53], [14.0, 10.53], [15.0, 10.59], [16.0, 10.62], [17.0, 10.62], [18.0, 10.63], [19.0, 10.75], [20.0, 10.82], [21.0, 10.89], [22.0, 11.13], [23.0, 11.62], [24.0, 12.19], [25.0, 12.86], [26.0, 13.63], [27.0, 14.73], [28.0, 15.82], [29.0, 17.01], [30.0, 18.33], [31.0, 19.33], [32.0, 20.3], [33.0, 21.21], [34.0, 22.08], [35.0, 22.39], [36.0, 22.96], [37.0, 24.31], [38.0, 25.05], [39.0, 25.57], [40.0, 26.11], [41.0, 26.62], [42.0, 27.49], [43.0, 28.32], [44.0, 28.77], [45.0, 29.22], [46.0, 29.63], [47.0, 30.04], [48.0, 30.47], [49.0, 30.88], [50.0, 31.3], [51.0, 31.67], [52.0, 32.04], [53.0, 32.59], [54.0, 33.24], [55.0, 33.79], [56.0, 34.42], [57.0, 35.06], [58.0, 36.06], [59.0, 36.26], [60.0, 36.53], [61.0, 36.84], [62.0, 37.39], [63.0, 38.1], [64.0, 38.82], [65.0, 39.72], [66.0, 40.78], [67.0, 42.02], [68.0, 42.58], [69.0, 42.98], [70.0, 43.47], [71.0, 44.22], [72.0, 44.99], [73.0, 45.84], [74.0, 46.64], [75.0, 47.44], [76.0, 48.36], [77.0, 49.57], [78.0, 50.94], [79.0, 51.12], [80.0, 51.52], [81.0, 52.15], [82.0, 52.77], [83.0, 53.34], [84.0, 53.81], [85.0, 54.06], [86.0, 54.2], [87.0, 54.25], [88.0, 54.27], [89.0, 54.27], [90.0, 54.27], [91.0, 54.27], [92.0, 54.27], [93.0, 54.27], [94.0, 54.27], [95.0, 54.28], [96.0, 54.3], [97.0, 54.35], [98.0, 54.43], [99.0, 54.53], [100.0, 54.57], [101.0, 54.58], [102.0, 54.58], [103.0, 54.58], [104.0, 54.59], [105.0, 54.59], [106.0, 54.6], [107.0, 54.64], [108.0, 54.67], [109.0, 54.67], [110.0, 54.67], [111.0, 54.67], [112.0, 54.68], [113.0, 54.68], [114.0, 54.68], [115.0, 54.7], [116.0, 54.72], [117.0, 54.77], [118.0, 54.82], [119.0, 54.95], [120.0, 55.16], [121.0, 55.42], [122.0, 55.72], [123.0, 55.86], [124.0, 55.88], [126.1, 55.91], [127.2, 55.92], [128.0, 55.92], [129.0, 55.99], [130.0, 56.04], [131.0, 56.14], [132.0, 56.22], [133.0, 56.39], [134.0, 56.82], [135.0, 56.88], [136.0, 56.88], [137.0, 56.89], [138.0, 56.99], [139.0, 57.01], [140.0, 57.04], [141.0, 57.06], [142.0, 57.17], [143.0, 57.33], [144.0, 57.48], [145.0, 57.59], [146.0, 57.66], [147.0, 57.72], [148.0, 57.75], [149.0, 57.75], [150.0, 57.76], [151.0, 57.76], [152.0, 58.53], [153.0, 58.61], [154.0, 58.68], [155.0, 58.76], [156.0, 58.82], [157.0, 58.83], [158.0, 58.83], [159.0, 58.83], [160.0, 58.88], [161.0, 59.08], [162.0, 59.32], [163.0, 59.57], [164.0, 59.79], [165.0, 59.99], [166.0, 60.25], [167.0, 60.56], [168.0, 60.81], [169.0, 61.03], [170.0, 61.18], [171.0, 61.22], [172.0, 61.22], [173.0, 61.23], [174.0, 61.38], [175.0, 61.78], [176.0, 62.33], [177.0, 63.05], [178.0, 63.63], [179.0, 64.11], [180.0, 64.62], [181.0, 65.09], [182.0, 65.35], [183.0, 65.51], [184.0, 65.56], [185.0, 65.6], [186.0, 65.63], [187.0, 65.63], [188.0, 65.63], [189.0, 65.63], [190.0, 65.63], [191.0, 65.64], [192.0, 65.64], [193.0, 65.64], [194.0, 65.64], [195.0, 65.64], [196.0, 65.64], [197.0, 65.65], [198.0, 65.65], [199.0, 65.65], [200.0, 65.65], [201.0, 65.65], [202.0, 65.65], [203.0, 65.65], [204.0, 65.65], [205.0, 65.65], [206.0, 65.65], [207.0, 65.65], [208.0, 65.67], [209.0, 65.69], [210.0, 65.72], [211.0, 65.82], [212.0, 66.22], [213.0, 66.84], [214.0, 67.81], [215.0, 68.2], [216.0, 68.55], [217.0, 69.04], [218.0, 69.54], [219.0, 70.05], [220.0, 70.62], [221.0, 71.11], [222.0, 71.34], [223.0, 71.42], [224.0, 71.42], [225.0, 71.42], [226.0, 71.42], [227.0, 71.43], [228.0, 71.43], [229.0, 71.43], [230.0, 71.43], [231.0, 71.43], [232.0, 71.43], [233.0, 71.43], [234.0, 71.43], [235.0, 71.43], [236.0, 71.43], [237.0, 71.43], [238.0, 71.43], [239.0, 71.43], [240.0, 71.43], [241.0, 71.43], [242.0, 71.43], [243.0, 71.43], [244.0, 71.43], [245.0, 71.43], [246.0, 71.64], [247.0, 72.34], [248.0, 73.25], [249.0, 73.81], [250.0, 74.33], [251.0, 74.85], [252.0, 75.3], [253.0, 75.58], [254.0, 75.71], [255.0, 75.77], [256.0, 75.79], [257.0, 75.79], [258.0, 75.79], [259.0, 75.79], [260.0, 75.79], [261.0, 75.79], [262.0, 75.8], [263.0, 75.81], [264.0, 75.83], [265.0, 75.83], [266.0, 75.83], [267.0, 75.83], [268.0, 75.83], [269.0, 75.83], [270.0, 75.83], [271.0, 75.83], [272.0, 75.83], [273.0, 75.83], [274.0, 75.83], [275.0, 75.83], [276.0, 75.84], [277.0, 75.87], [278.0, 75.97], [279.0, 76.15], [280.0, 76.5], [281.0, 77.12], [282.0, 77.71], [283.0, 78.31], [284.0, 79.03], [285.0, 79.59], [286.0, 80.2], [287.0, 80.76]]"
86.20,329.30,75.96,91.69,78.35,246.00,63.58,59.69,"[[1.0, 5.51], [2.0, 5.51], [3.0, 5.51], [4.0, 5.51], [5.0, 5.51], [6.0, 6.11], [7.0, 6.38], [8.0, 7.12], [9.0, 8.13], [10.0, 8.52], [11.0, 8.79], [12.0, 9.03], [13.0, 9.03], [14.0, 9.06], [15.0, 9.21], [16.0, 9.53], [17.0, 9.89], [18.0, 10.31], [19.0, 10.94], [20.0, 11.63], [21.0, 13.15], [22.0, 14.0], [23.0, 14.26], [24.0, 14.28], [25.0, 14.29], [26.0, 14.38], [27.0, 14.57], [28.0, 14.85], [29.0, 15.15], [30.0, 15.39], [31.0, 15.66], [32.0, 15.97], [33.0, 16.31], [34.0, 16.89], [35.0, 16.92], [36.0, 16.95], [37.0, 17.11], [38.0, 17.73], [39.0, 18.06], [40.0, 18.44], [41.0, 18.76], [42.0, 19.12], [43.0, 19.56], [44.0, 19.91], [45.0, 20.21], [46.0, 20.26], [47.0, 20.26], [48.0, 20.56], [49.0, 21.15], [50.0, 21.63], [51.0, 21.75], [52.0, 21.88], [53.0, 21.94], [54.0, 22.03], [55.0, 22.27], [56.0, 22.47], [57.0, 22.51], [58.0, 22.52], [59.0, 22.52], [60.0, 22.52], [61.0, 22.52], [62.0, 22.69], [63.0, 22.72], [64.5, 22.73], [65.0, 22.74], [66.0, 22.78], [67.0, 22.79], [68.0, 22.79], [69.0, 22.8], [70.0, 22.84], [71.0, 22.93], [72.0, 22.94], [73.0, 22.96], [74.0, 22.96], [75.0, 22.96], [76.0, 22.96], [77.1, 22.99], [78.0, 23.14], [79.0, 23.45], [80.0, 23.79], [81.0, 24.11], [82.0, 24.5], [83.0, 24.87], [84.0, 25.3], [85.0, 25.86], [86.0, 26.68], [87.0, 27.62], [88.0, 28.42], [89.0, 29.12], [90.0, 29.71], [91.0, 29.99], [92.0, 30.01], [93.0, 30.03], [94.0, 30.08], [95.0, 30.11], [96.0, 30.11], [97.0, 30.12], [98.0, 30.12], [99.0, 30.12], [100.0, 30.12], [101.0, 30.21], [102.0, 30.58], [103.0, 30.96], [104.0, 31.35], [105.0, 31.75], [106.0, 32.16], [107.0, 32.51], [108.0, 32.81], [109.0, 33.16], [110.0, 33.45], [111.0, 33.67], [112.0, 33.78], [113.0, 33.84], [114.7, 33.84], [116.2, 33.85], [117.0, 33.9], [118.0, 33.96], [119.0, 34.03], [120.0, 34.03], [121.0, 34.03], [122.0, 34.1], [123.0, 34.25], [124.0, 34.47], [125.0, 34.9], [126.0, 35.58], [127.0, 36.09], [128.0, 36.8], [129.0, 37.67], [130.0, 37.86], [131.0, 37.95], [132.0, 38.11], [133.0, 38.26], [134.0, 38.32], [135.0, 38.38], [136.0, 38.43], [137.0, 38.45], [138.0, 38.52], [139.0, 38.52], [140.0, 38.52], [141.0, 38.52], [142.0, 38.52], [143.0, 38.53], [144.0, 38.56], [145.0, 38.57], [146.0, 38.63], [147.0, 38.7], [148.0, 38.71], [149.0, 38.91], [150.0, 39.25], [151.0, 39.54], [152.0, 39.84], [153.0, 40.18], [154.0, 40.57], [155.0, 40.9], [156.0, 41.31], [157.0, 41.68], [158.0, 42.09], [159.0, 42.51], [160.0, 42.81], [161.0, 43.05], [162.0, 43.24], [163.0, 43.38], [164.0, 43.47], [165.0, 43.77], [166.0, 44.11], [167.0, 44.35], [168.0, 44.78], [169.0, 45.21], [170.0, 45.52], [171.0, 45.79], [172.0, 46.0], [173.0, 46.21], [174.0, 46.31], [175.0, 46.46], [176.0, 46.87], [177.0, 47.26], [178.0, 47.44], [179.0, 47.49], [180.0, 47.49], [181.0, 47.5], [182.0, 47.54], [183.0, 47.56], [184.6, 47.56], [185.4, 47.56], [186.0, 47.57], [187.0, 47.57], [188.0, 47.57], [189.0, 47.57], [190.0, 47.58], [191.0, 47.58], [192.0, 47.58], [193.0, 47.6], [194.0, 47.61], [195.0, 47.61], [196.0, 47.63], [197.0, 47.7], [198.0, 47.86], [199.0, 48.11], [200.0, 48.43], [201.0, 48.71], [202.0, 48.98], [203.0, 49.27], [204.0, 49.72], [205.0, 50.17], [206.0, 51.21], [207.0, 51.53], [208.0, 51.63], [209.0, 51.74], [210.0, 51.83], [211.0, 52.05], [212.0, 52.41], [213.0, 52.8], [214.0, 53.02], [215.0, 53.11], [216.0, 53.13], [217.0, 53.14], [218.0, 53.3], [219.0, 53.84], [220.0, 54.75], [221.0, 55.71], [222.0, 56.81], [223.0, 57.73], [224.0, 58.61], [225.0, 59.26], [226.0, 59.83], [227.0, 60.24], [228.0, 60.62], [229.0, 60.94], [230.0, 61.26], [231.0, 61.52], [232.0, 61.74], [233.0, 62.01], [234.0, 62.17], [235.0, 62.64], [236.0, 63.0], [237.0, 63.19], [238.0, 63.22], [239.0, 63.22], [240.0, 63.22], [241.0, 63.22], [242.0, 63.22], [243.0, 63.22], [244.0, 63.22], [245.0, 63.23], [246.0, 63.23], [247.0, 63.23], [248.0, 63.23], [249.0, 63.23], [250.0, 63.23], [251.0, 63.23], [252.0, 63.23], [253.0, 63.23], [254.0, 63.23], [255.0, 63.24], [256.0, 63.24], [257.0, 63.24], [258.0, 63.24], [259.0, 63.24], [260.0, 63.24], [261.0, 63.24], [262.0, 63.24], [263.0, 63.24], [264.0, 63.24], [265.0, 63.24], [266.0, 63.24], [267.0, 63.24], [268.0, 63.24], [269.0, 63.24], [270.0, 63.24], [271.0, 63.24], [272.0, 63.24], [273.0, 63.24], [274.0, 63.24], [275.0, 63.24], [276.0, 63.24], [277.0, 63.24], [278.0, 63.24], [279.0, 63.24], [280.0, 63.24], [281.0, 63.24], [282.0, 63.24], [283.0, 63.24], [284.0, 63.24], [285.0, 63.24], [286.0, 63.24], [287.0, 63.24], [288.0, 63.24], [289.0, 63.24], [290.0, 63.24], [291.0, 63.24], [292.0, 63.24], [293.0, 63.24], [294.0, 63.24], [295.0, 63.24], [296.0, 63.24], [297.0, 63.24], [298.0, 63.24], [299.0, 63.24], [300.0, 63.24], [301.0, 63.24], [302.0, 63.24], [303.0, 63.24], [304.0, 63.24], [305.0, 63.24], [306.0, 63.24], [307.0, 63.24], [308.0, 63.24], [309.0, 63.24], [310.0, 63.24], [311.0, 63.24], [312.0, 63.24], [313.0, 63.24], [314.0, 63.24], [315.0, 63.24], [316.0, 63.24], [317.0, 63.24], [318.0, 63.24], [319.0, 63.24], [320.0, 63.24], [321.0, 63.24], [322.0, 63.24], [323.0, 63.24], [324.0, 63.24], [325.0, 63.24], [326.0, 63.24], [327.0, 63.24], [328.0, 63.28], [329.0, 63.58]]"
54.20,59.20,15.59,10.97,15.00,41.56,21.09,79.96,"[[1.0, 6.57], [2.0, 6.57], [3.0, 6.57], [4.0, 6.86], [5.0, 7.78], [6.0, 8.33], [7.0, 8.62], [8.0, 9.19], [9.0, 9.88], [10.0, 10.49], [11.0, 11.03], [12.0, 11.41], [13.0, 11.45], [14.0, 11.66], [15.0, 11.83], [16.0, 12.03], [17.0, 12.95], [18.0, 13.8], [19.0, 14.09], [20.0, 14.43], [21.0, 14.82], [22.0, 15.22], [23.0, 15.67], [24.0, 15.68], [25.0, 15.74], [26.0, 15.91], [27.0, 16.03], [28.0, 16.18], [29.0, 16.37], [30.0, 16.62], [31.0, 16.93], [32.0, 17.26], [33.0, 17.56], [34.0, 17.86], [35.0, 17.92], [36.0, 17.92], [37.0, 17.93], [38.0, 17.93], [39.0, 17.93], [40.0, 17.93], [41.0, 17.93], [42.0, 17.93], [43.0, 17.94], [44.0, 18.02], [45.0, 18.05], [46.0, 18.09], [47.0, 18.22], [48.0, 18.75], [49.0, 19.52], [50.0, 19.63], [51.0, 19.69], [52.0, 19.72], [53.0, 19.81], [54.0, 20.09], [55.0, 20.45], [56.0, 20.81], [57.0, 20.85], [58.0, 20.85], [59.0, 21.09]]"
0.00,171.10,44.64,44.89,50.81,140.35,52.24,62.79,"[[1.0, 6.16], [2.0, 6.16], [3.0, 6.16], [4.0, 6.35], [5.0, 7.02], [6.0, 7.19], [7.0, 7.34], [8.0, 7.51], [9.0, 7.64], [10.0, 7.76], [11.0, 7.88], [12.0, 8.15], [13.0, 8.18], [14.0, 8.19], [15.0, 8.45], [16.0, 8.96], [17.0, 9.7], [18.0, 10.82], [19.0, 12.09], [20.0, 12.85], [21.0, 13.6], [22.0, 14.29], [23.0, 15.08], [24.0, 15.12], [25.0, 15.15], [26.0, 15.2], [27.0, 15.25], [28.0, 15.28], [29.0, 15.51], [30.0, 15.81], [31.0, 16.18], [32.0, 16.56], [33.0, 16.91], [34.0, 17.25], [35.0, 17.6], [36.0, 17.98], [37.0, 18.42], [38.0, 18.94], [39.0, 19.92], [40.0, 21.54], [41.0, 23.2], [42.0, 24.51], [43.0, 25.77], [44.0, 27.1], [45.0, 28.13], [46.0, 28.37], [47.0, 28.43], [48.0, 28.6], [49.0, 28.99], [50.0, 29.67], [51.0, 30.46], [52.0, 31.0], [53.0, 31.51], [54.0, 32.0], [55.0, 32.48], [56.0, 32.91], [57.0, 33.23], [58.0, 33.53], [59.0, 33.85], [60.0, 34.21], [61.0, 34.55], [62.0, 34.85], [63.0, 35.2], [64.0, 35.5], [65.0, 35.85], [66.0, 36.29], [67.0, 36.69], [68.0, 36.96], [69.0, 37.02], [70.0, 37.06], [71.0, 37.19], [72.0, 37.25], [73.0, 37.29], [74.0, 37.29], [75.0, 37.3], [76.0, 37.35], [77.0, 37.35], [78.0, 37.39], [79.0, 37.53], [80.0, 37.54], [81.0, 37.55], [82.0, 37.55], [83.0, 37.58], [84.0, 37.6], [85.0, 37.61], [86.0, 37.62], [87.0, 37.79], [88.0, 38.11], [89.0, 38.45], [90.0, 39.04], [91.0, 39.67], [92.0, 40.28], [93.0, 40.81], [94.0, 41.65], [95.0, 42.93], [96.0, 44.05], [97.0, 44.82], [98.0, 45.47], [99.0, 46.12], [100.0, 46.73], [101.0, 47.09], [102.0, 47.53], [103.0, 48.09], [104.0, 48.42], [105.0, 48.65], [106.0, 48.82], [107.0, 48.99], [108.0, 49.17], [109.0, 49.3], [110.0, 49.48], [111.0, 49.72], [112.0, 50.0], [113.0, 50.17], [114.0, 50.28], [115.0, 50.3], [116.0, 50.31], [117.0, 50.31], [118.0, 50.31], [119.0, 50.31], [120.0, 50.31], [121.0, 50.31], [122.0, 50.31], [123.0, 50.32], [124.0, 50.32], [125.0, 50.32], [126.0, 50.32], [127.0, 50.32], [128.0, 50.32], [129.0, 50.32], [130.0, 50.32], [131.0, 50.32], [132.0, 50.32], [133.0, 50.32], [134.0, 50.32], [135.0, 50.33], [136.0, 50.33], [137.0, 50.33], [138.0, 50.34], [139.0, 50.34], [140.0, 50.34], [141.0, 50.34], [142.0, 50.34], [143.0, 50.34], [144.0, 50.34], [145.0, 50.34], [146.0, 50.34], [147.0, 50.34], [148.0, 50.34], [149.0, 50.34], [150.0, 50.34], [151.0, 50.34], [152.0, 50.34], [153.0, 50.34], [154.0, 50.34], [155.0, 50.34], [156.0, 50.34], [157.0, 50.34], [158.0, 50.34], [159.0, 50.34], [160.0, 50.34], [161.0, 50.34], [162.0, 50.34], [163.0, 50.34], [164.0, 50.34], [165.0, 50.34], [166.0, 50.47], [167.0, 50.75], [168.0, 51.05], [169.0, 51.43], [170.0, 51.81], [171.0, 52.24]]"
