time_to_first_target,time_to_all_targets,robot_0_distance,robot_1_distance,robot_2_distance,robot_3_distance,robot_4_distance,cumulative_distance,map_coverage_pct,redundant_search_pct,coverage_over_time
46.30,126.30,30.87,30.16,28.20,24.67,27.94,141.84,74.86,54.37,"[[1.0, 7.52], [2.0, 7.52], [3.0, 7.52], [4.0, 7.52], [5.0, 7.52], [6.0, 7.52], [7.0, 7.97], [8.0, 8.65], [9.0, 8.73], [10.0, 9.04], [11.0, 9.48], [12.0, 9.99], [13.0, 10.07], [14.0, 10.31], [15.0, 11.14], [16.0, 12.35], [17.0, 13.53], [18.0, 14.41], [19.0, 15.21], [20.0, 15.56], [21.0, 16.32], [22.0, 17.47], [23.0, 17.64], [24.0, 17.93], [25.0, 18.32], [26.0, 18.75], [27.0, 19.24], [28.0, 19.68], [29.0, 20.32], [30.0, 20.96], [31.0, 21.29], [32.0, 21.64], [33.0, 22.1], [34.0, 22.78], [35.0, 23.52], [36.0, 24.54], [37.0, 25.64], [38.0, 26.63], [39.0, 27.36], [40.0, 28.21], [41.0, 28.92], [42.0, 29.37], [43.0, 29.78], [44.0, 30.3], [45.0, 31.48], [46.0, 33.11], [47.0, 34.49], [48.0, 35.77], [49.0, 36.57], [50.0, 37.36], [51.0, 38.33], [52.0, 39.24], [53.0, 40.14], [54.0, 41.04], [55.0, 41.47], [56.0, 42.15], [57.0, 42.54], [58.0, 42.84], [59.0, 43.19], [60.0, 43.41], [61.0, 43.46], [62.0, 43.51], [63.0, 43.56], [64.0, 43.74], [65.0, 43.95], [66.0, 44.26], [67.0, 44.55], [68.0, 44.84], [69.0, 45.19], [70.0, 45.63], [71.0, 46.1], [72.0, 46.65], [73.0, 47.26], [74.0, 48.01], [75.0, 48.83], [76.0, 49.72], [77.0, 50.19], [78.0, 50.66], [79.0, 51.65], [80.0, 52.6], [81.0, 53.7], [82.0, 54.77], [83.0, 55.63], [84.0, 56.4], [85.0, 56.97], [86.0, 57.49], [87.0, 57.73], [88.0, 57.76], [89.0, 57.81], [90.0, 57.85], [91.0, 57.99], [92.0, 58.14], [93.0, 58.49], [94.0, 59.3], [95.0, 60.02], [96.0, 60.5], [97.0, 61.04], [98.0, 61.79], [99.0, 62.51], [100.0, 62.94], [101.0, 63.27], [102.0, 63.56], [103.0, 63.82], [104.0, 64.05], [105.0, 64.32], [106.0, 64.78], [107.0, 65.06], [108.0, 65.31], [109.0, 65.76], [110.0, 66.13], [111.0, 66.65], [112.0, 67.46], [113.0, 68.83], [114.0, 69.28], [115.0, 69.78], [116.0, 69.88], [117.0, 70.03], [118.0, 70.15], [119.0, 70.5], [120.0, 71.31], [121.0, 72.22], [122.0, 73.0], [123.0, 73.29], [124.0, 73.59], [125.0, 74.01], [126.0, 74.86]]"
165.00,303.50,73.73,66.47,80.16,79.45,74.55,374.36,96.94,79.61,"[[1.0, 5.81], [2.0, 5.81], [3.0, 5.81], [4.0, 5.81], [5.0, 6.62], [6.0, 7.49], [7.0, 8.22], [8.0, 8.83], [9.0, 9.46], [10.0, 9.88], [11.0, 10.3], [12.0, 11.37], [13.0, 11.67], [14.0, 11.67], [15.0, 11.75], [16.0, 11.83], [17.0, 11.86], [18.0, 11.88], [19.0, 11.92], [20.0, 12.19], [21.0, 12.63], [22.0, 13.28], [23.0, 14.23], [24.0, 14.43], [25.0, 14.43], [26.0, 14.52], [27.0, 15.06], [28.0, 15.72], [29.0, 16.59], [30.0, 17.94], [31.0, 19.67], [32.0, 20.83], [33.0, 21.3], [34.0, 21.72], [35.0, 21.97], [36.0, 22.12], [37.0, 22.46], [38.0, 23.0], [39.0, 23.55], [40.0, 23.9], [41.0, 24.27], [42.0, 24.64], [43.0, 25.03], [44.0, 25.33], [45.0, 25.64], [46.0, 25.66], [47.0, 25.66], [48.0, 25.69], [49.0, 26.07], [50.0, 26.85], [51.0, 27.46], [52.0, 28.5], [53.0, 29.44], [54.0, 30.15], [55.0, 30.76], [56.0, 31.17], [57.0, 31.31], [58.0, 31.43], [59.0, 31.51], [60.0, 31.87], [61.0, 32.46], [62.0, 33.26], [63.0, 34.05], [64.0, 34.63], [65.0, 35.23], [66.0, 35.77], [67.0, 36.44], [68.0, 37.1], [69.0, 37.34], [70.0, 37.41], [71.0, 37.53], [72.0, 37.6], [73.0, 37.68], [74.0, 37.85], [75.0, 37.93], [76.0, 37.99], [77.0, 38.12], [78.0, 38.36], [79.0, 38.49], [80.0, 38.53], [81.0, 38.55], [82.0, 38.56], [83.0, 38.56], [84.0, 38.56], [85.0, 38.56], [86.0, 38.57], [87.0, 38.58], [88.0, 38.6], [89.0, 38.61], [90.0, 38.63], [91.0, 38.63], [92.0, 38.66], [93.0, 38.99], [94.0, 39.22], [95.0, 39.53], [96.0, 39.87], [97.0, 40.2], [98.0, 40.82], [99.0, 41.73], [100.0, 43.13], [101.0, 45.02], [102.0, 46.38], [103.0, 47.98], [104.0, 49.58], [105.0, 51.23], [106.0, 52.94], [107.0, 54.38], [108.0, 55.68], [109.0, 56.81], [110.0, 57.83], [111.0, 58.6], [112.0, 58.99], [113.0, 59.2], [114.0, 59.29], [115.0, 59.31], [116.0, 59.31], [117.0, 59.33], [118.0, 59.33], [119.0, 59.34], [120.0, 59.38], [121.0, 59.64], [122.0, 59.94], [123.0, 60.27], [124.0, 60.63], [125.0, 60.83], [126.0, 60.92], [127.0, 61.07], [128.0, 61.1], [129.0, 61.11], [130.0, 61.13], [131.0, 61.51], [132.0, 62.7], [133.0, 63.0], [134.0, 63.47], [135.0, 64.1], [136.0, 64.8], [137.3, 65.3], [138.2, 65.63], [139.0, 66.14], [140.0, 66.86], [141.0, 67.13], [142.0, 67.19], [143.0, 67.22], [144.0, 67.24], [145.0, 67.24], [146.0, 67.24], [147.0, 67.25], [148.0, 67.25], [149.0, 67.25], [150.0, 67.25], [151.0, 67.27], [152.0, 67.28], [153.0, 67.3], [154.0, 67.3], [155.0, 67.3], [156.0, 67.31], [157.0, 67.31], [158.0, 67.31], [159.0, 67.32], [160.0, 67.39], [161.0, 67.52], [162.0, 67.61], [163.0, 67.86], [164.0, 68.38], [165.0, 68.95], [166.0, 69.48], [167.0, 69.5], [168.0, 69.5], [169.0, 69.54], [170.0, 69.6], [171.0, 69.82], [172.0, 70.16], [173.0, 70.43], [174.0, 70.73], [175.0, 71.25], [176.0, 72.23], [177.0, 72.47], [178.0, 72.72], [179.0, 72.98], [180.0, 73.28], [181.0, 73.54], [182.0, 73.78], [183.0, 73.95], [184.0, 74.13], [185.0, 74.35], [186.0, 74.61], [187.0, 74.84], [188.0, 75.06], [189.0, 75.3], [190.0, 75.54], [191.0, 75.86], [192.0, 76.13], [193.0, 76.51], [194.0, 76.93], [195.0, 77.02], [196.0, 77.04], [197.0, 77.04], [198.0, 77.06], [199.0, 77.08], [200.0, 77.13], [201.0, 77.16], [202.0, 77.18], [203.0, 77.19], [204.0, 77.19], [205.0, 77.19], [206.0, 77.19], [207.0, 77.19], [208.0, 77.19], [209.0, 77.19], [210.0, 77.19], [211.0, 77.19], [212.0, 77.19], [213.0, 77.19], [214.0, 77.19], [215.0, 77.3], [216.0, 77.49], [217.0, 77.7], [218.0, 78.38], [219.0, 78.86], [220.0, 78.89], [221.0, 78.92], [222.0, 78.98], [223.0, 79.12], [224.0, 79.23], [225.0, 79.3], [226.0, 79.35], [227.0, 79.36], [228.0, 79.36], [229.0, 79.37], [230.0, 79.42], [231.0, 79.57], [232.0, 79.96], [233.0, 80.73], [234.0, 81.61], [235.0, 82.45], [236.0, 82.99], [237.0, 83.38], [238.0, 83.93], [239.0, 84.37], [240.0, 84.85], [241.0, 85.2], [242.0, 85.92], [243.0, 86.61], [244.0, 86.74], [245.0, 86.76], [246.0, 86.78], [247.0, 86.78], [248.0, 86.8], [249.0, 86.81], [250.0, 86.84], [251.0, 86.84], [252.0, 86.84], [253.0, 86.84], [254.0, 86.84], [255.0, 86.84], [256.0, 86.84], [257.0, 86.92], [258.0, 87.14], [259.0, 87.49], [260.0, 87.89], [261.0, 88.26], [262.0, 88.79], [263.0, 89.24], [264.0, 89.71], [265.0, 90.11], [266.0, 90.19], [267.0, 90.24], [268.0, 90.3], [269.0, 90.35], [270.0, 90.4], [271.0, 90.44], [272.0, 90.48], [273.0, 90.58], [274.0, 90.83], [275.0, 91.21], [276.0, 91.73], [277.0, 92.12], [278.0, 92.48], [279.0, 92.91], [280.0, 93.22], [281.0, 93.58], [282.0, 94.28], [283.0, 94.58], [284.0, 94.67], [285.0, 94.69], [286.0, 94.72], [287.0, 94.73], [288.0, 94.73], [289.0, 94.75], [290.0, 94.76], [291.0, 94.79], [292.0, 95.23], [293.0, 95.77], [294.0, 96.33], [295.0, 96.7], [296.0, 96.85], [297.0, 96.9], [298.0, 96.91], [299.0, 96.91], [300.0, 96.91], [301.0, 96.91], [302.0, 96.91], [303.0, 96.94]]"
61.30,65.10,14.51,13.00,15.10,14.11,15.67,72.38,33.45,75.98,"[[1.0, 6.56], [2.0, 6.56], [3.0, 6.56], [4.0, 6.56], [5.0, 7.06], [6.0, 7.82], [7.0, 8.55], [8.0, 8.86], [9.0, 8.97], [10.0, 9.15], [11.0, 9.39], [12.0, 9.64], [13.0, 9.73], [14.0, 9.97], [15.0, 10.33], [16.0, 10.83], [17.0, 11.53], [18.0, 12.61], [19.0, 13.99], [20.0, 14.34], [21.0, 14.86], [22.0, 15.51], [23.0, 16.05], [24.0, 16.09], [25.0, 16.09], [26.0, 16.14], [27.0, 16.48], [28.0, 17.02], [29.0, 17.53], [30.0, 18.02], [31.0, 18.66], [32.0, 19.69], [33.0, 20.33], [34.0, 20.97], [35.0, 20.97], [36.0, 21.05], [37.0, 21.24], [38.0, 21.36], [39.0, 21.86], [40.0, 22.01], [41.0, 22.33], [42.0, 22.75], [43.0, 23.19], [44.0, 23.89], [45.0, 24.29], [46.0, 24.68], [47.0, 25.11], [48.0, 25.37], [49.0, 25.46], [50.0, 25.47], [51.0, 25.63], [52.0, 25.95], [53.0, 26.29], [54.0, 26.64], [55.0, 27.03], [56.0, 27.09], [57.0, 27.1], [58.0, 27.28], [59.0, 27.57], [60.0, 28.15], [61.0, 29.02], [62.0, 30.31], [63.0, 31.55], [64.0, 32.54], [65.0, 33.45]]"
23.70,34.10,7.07,6.74,4.63,3.65,5.74,27.84,18.77,73.05,"[[1.0, 7.64], [2.0, 7.64], [3.0, 7.64], [4.0, 7.64], [5.0, 7.64], [6.0, 8.24], [7.0, 8.66], [8.0, 9.42], [9.0, 9.73], [10.0, 9.98], [11.0, 10.36], [12.0, 10.85], [13.0, 10.9], [14.0, 10.9], [15.0, 11.4], [16.0, 12.67], [17.0, 13.88], [18.0, 14.15], [19.0, 14.48], [20.0, 14.82], [21.0, 15.15], [22.0, 15.47], [23.0, 15.81], [24.0, 16.16], [25.0, 16.3], [26.0, 16.31], [27.0, 16.42], [28.0, 16.58], [29.0, 16.91], [30.0, 17.3], [31.0, 17.68], [32.0, 18.1], [33.0, 18.43], [34.0, 18.77]]"
-0.10,56.20,11.68,12.46,9.26,17.26,11.31,61.97,37.33,45.60,"[[1.0, 7.62], [2.0, 7.62], [3.0, 7.62], [4.0, 7.62], [5.0, 7.62], [6.0, 7.91], [7.0, 8.57], [8.0, 8.68], [9.0, 8.83], [10.0, 8.91], [11.0, 8.96], [12.0, 9.22], [13.0, 9.77], [14.0, 9.82], [15.0, 9.82], [16.0, 9.83], [17.0, 9.99], [18.0, 10.16], [19.0, 10.23], [20.0, 10.33], [21.0, 10.56], [22.0, 10.94], [23.0, 11.66], [24.0, 11.68], [25.0, 11.76], [26.0, 11.77], [27.0, 11.88], [28.0, 12.4], [29.0, 13.26], [30.0, 13.82], [31.0, 14.33], [32.0, 14.78], [33.0, 15.23], [34.0, 15.66], [35.0, 16.13], [36.0, 16.67], [37.0, 17.25], [38.0, 18.05], [39.0, 19.0], [40.0, 20.05], [41.0, 21.06], [42.0, 22.05], [43.0, 23.11], [44.0, 24.79], [45.0, 25.67], [46.0, 26.45], [47.0, 27.81], [48.0, 29.22], [49.0, 30.09], [50.0, 30.97], [51.0, 31.94], [52.0, 32.92], [53.0, 33.88], [54.0, 34.9], [55.0, 35.97], [56.0, 37.33]]"
