time_to_first_target,time_to_all_targets,robot_0_distance,robot_1_distance,robot_2_distance,cumulative_distance,map_coverage_pct,redundant_search_pct,coverage_over_time
162.40,221.00,64.05,40.99,66.27,171.31,84.52,30.93,"[[1.0, 6.75], [2.0, 6.75], [3.0, 6.75], [4.0, 6.75], [5.0, 6.75], [6.0, 6.75], [7.0, 6.75], [8.0, 6.75], [9.0, 6.75], [10.0, 6.75], [11.0, 6.75], [12.0, 6.75], [13.0, 6.75], [14.0, 6.75], [15.0, 6.75], [16.0, 6.75], [17.0, 6.75], [18.0, 6.75], [19.0, 6.75], [20.0, 6.75], [21.0, 6.75], [22.0, 6.75], [23.0, 6.75], [24.0, 6.75], [25.0, 6.75], [26.0, 6.75], [27.0, 6.75], [28.0, 6.75], [29.0, 6.75], [30.0, 6.75], [31.0, 6.75], [32.0, 6.75], [33.0, 6.75], [34.0, 6.75], [35.0, 6.75], [36.0, 6.75], [37.0, 6.75], [38.0, 6.75], [39.0, 6.75], [40.0, 6.75], [41.0, 6.75], [42.0, 6.75], [43.0, 6.75], [44.0, 6.75], [45.0, 6.75], [46.0, 6.75], [47.0, 6.75], [48.0, 6.75], [49.0, 6.75], [50.0, 6.75], [51.0, 6.75], [52.0, 6.75], [53.0, 6.75], [54.0, 6.75], [55.0, 6.75], [56.0, 6.75], [57.0, 6.75], [58.0, 6.75], [59.0, 6.75], [60.0, 6.75], [61.0, 6.75], [62.0, 6.75], [63.0, 6.75], [64.0, 6.75], [65.0, 6.75], [66.0, 7.29], [67.0, 8.11], [68.0, 8.48], [69.0, 8.84], [70.0, 9.79], [71.0, 11.16], [72.0, 12.12], [73.0, 12.81], [74.0, 13.53], [75.0, 14.29], [76.0, 15.09], [77.0, 16.05], [78.0, 16.97], [79.0, 18.24], [80.0, 19.96], [81.0, 21.67], [82.0, 23.07], [83.0, 23.84], [84.0, 24.47], [85.0, 25.07], [86.0, 25.65], [87.0, 26.34], [88.0, 26.77], [89.0, 26.99], [90.0, 27.11], [91.0, 27.15], [92.0, 27.23], [93.0, 27.29], [94.0, 27.33], [95.0, 27.33], [96.0, 27.33], [97.0, 27.33], [98.0, 27.33], [99.0, 27.34], [100.0, 27.34], [101.0, 27.34], [102.0, 27.34], [103.0, 27.34], [104.0, 27.34], [105.0, 27.34], [106.0, 27.34], [107.0, 27.34], [108.0, 27.34], [109.0, 27.34], [110.0, 27.4], [111.0, 27.79], [112.0, 28.54], [113.0, 28.79], [114.0, 29.12], [115.0, 29.51], [116.0, 29.94], [117.0, 30.35], [118.0, 30.73], [119.0, 31.17], [120.0, 31.81], [121.0, 32.69], [122.0, 33.89], [123.0, 35.54], [124.0, 36.8], [125.0, 37.75], [126.0, 38.32], [127.0, 38.95], [128.0, 39.63], [129.0, 40.15], [130.0, 40.54], [131.0, 40.83], [132.0, 41.13], [133.0, 41.48], [134.0, 42.02], [135.0, 42.59], [136.0, 43.14], [137.0, 43.46], [138.0, 43.76], [139.0, 44.03], [140.0, 44.25], [141.0, 44.33], [142.0, 44.38], [143.0, 44.42], [144.0, 44.43], [145.0, 44.47], [146.0, 44.55], [147.0, 44.56], [148.0, 44.57], [149.0, 44.62], [150.0, 44.63], [151.0, 44.65], [152.0, 44.68], [153.0, 44.82], [154.0, 45.11], [155.0, 45.73], [156.0, 46.55], [157.0, 47.05], [158.0, 47.61], [159.0, 48.2], [160.0, 48.9], [161.0, 49.72], [162.0, 50.74], [163.0, 52.04], [164.0, 53.92], [165.0, 55.69], [166.0, 57.0], [167.0, 57.94], [168.0, 58.92], [169.0, 59.91], [170.0, 60.66], [171.0, 61.09], [172.0, 62.01], [173.0, 62.6], [174.0, 62.85], [175.0, 63.03], [176.0, 63.16], [177.0, 63.32], [178.0, 63.65], [179.0, 63.99], [180.0, 64.29], [181.0, 64.6], [182.0, 64.9], [183.0, 65.22], [184.0, 65.57], [185.0, 65.9], [186.0, 66.28], [187.0, 66.7], [188.0, 67.11], [189.0, 67.55], [190.0, 67.88], [191.0, 68.12], [192.0, 68.38], [193.0, 68.59], [194.0, 68.7], [195.0, 68.76], [196.0, 68.82], [197.0, 68.85], [198.0, 68.86], [199.0, 68.91], [200.0, 68.96], [201.0, 69.09], [202.0, 69.34], [203.0, 69.6], [204.0, 70.33], [205.0, 71.76], [206.0, 72.23], [207.0, 72.61], [208.0, 73.12], [209.0, 73.77], [210.0, 74.53], [211.0, 75.4], [212.0, 76.64], [213.0, 78.37], [214.0, 79.6], [215.0, 80.58], [216.0, 81.48], [217.0, 82.19], [218.0, 82.82], [219.0, 83.39], [220.0, 84.01], [221.0, 84.52]]"
-0.40,158.50,28.30,21.34,26.73,76.37,59.54,24.58,"[[1.0, 4.68], [2.0, 4.68], [3.0, 4.68], [4.0, 4.68], [5.0, 4.68], [6.0, 4.68], [7.0, 4.68], [8.0, 4.68], [9.0, 4.68], [10.0, 4.68], [11.0, 4.68], [12.0, 4.68], [13.0, 4.68], [14.0, 4.68], [15.0, 4.68], [16.0, 4.68], [17.0, 4.68], [18.0, 4.68], [19.0, 4.68], [20.0, 4.68], [21.0, 4.68], [22.0, 4.68], [23.0, 4.68], [24.0, 4.68], [25.0, 4.68], [26.0, 4.68], [27.0, 4.68], [28.0, 4.68], [29.0, 4.68], [30.0, 4.68], [31.0, 4.68], [32.0, 4.68], [33.0, 4.68], [34.0, 4.68], [35.0, 4.68], [36.0, 4.68], [37.0, 4.68], [38.0, 4.68], [39.0, 4.68], [40.0, 4.68], [41.0, 4.68], [42.0, 4.68], [43.0, 4.68], [44.0, 4.68], [45.0, 4.68], [46.0, 4.68], [47.0, 4.68], [48.0, 4.68], [49.0, 4.68], [50.0, 4.68], [51.0, 4.68], [52.0, 4.68], [53.0, 4.68], [54.0, 4.68], [55.0, 4.68], [56.0, 4.68], [57.0, 4.68], [58.0, 4.68], [59.0, 4.68], [60.0, 4.68], [61.0, 4.68], [62.0, 4.68], [63.0, 4.68], [64.0, 4.68], [65.0, 4.68], [66.0, 4.68], [67.0, 4.68], [68.0, 4.68], [69.0, 4.68], [70.0, 4.68], [71.0, 4.68], [72.0, 4.68], [73.0, 4.68], [74.0, 4.68], [75.0, 4.68], [76.0, 4.68], [77.0, 4.68], [78.0, 4.68], [79.0, 4.68], [80.0, 4.68], [81.0, 4.68], [82.0, 4.68], [83.0, 4.68], [84.0, 4.68], [85.0, 4.68], [86.0, 5.33], [87.0, 5.84], [88.0, 6.65], [89.0, 8.32], [90.0, 9.29], [91.0, 10.2], [92.0, 11.02], [93.0, 12.26], [94.0, 14.27], [95.0, 15.73], [96.0, 16.74], [97.0, 17.87], [98.0, 19.37], [99.0, 20.99], [100.0, 22.66], [101.0, 24.06], [102.0, 25.17], [103.0, 25.92], [104.0, 26.62], [105.0, 27.31], [106.0, 27.94], [107.0, 28.64], [108.0, 29.09], [109.0, 29.43], [110.0, 29.78], [111.0, 29.92], [112.0, 30.02], [113.0, 30.15], [114.0, 30.33], [115.0, 30.58], [116.0, 30.79], [117.0, 30.95], [118.0, 31.01], [119.0, 31.04], [120.0, 31.05], [121.0, 31.09], [122.0, 31.24], [123.0, 31.42], [124.0, 31.58], [125.0, 31.69], [126.0, 32.0], [127.0, 32.44], [128.0, 32.86], [129.0, 33.25], [130.0, 33.73], [131.0, 34.28], [132.0, 34.93], [133.0, 35.61], [134.0, 36.56], [135.0, 37.82], [136.0, 38.98], [137.0, 40.19], [138.0, 41.23], [139.0, 42.64], [140.0, 44.08], [141.0, 45.66], [142.0, 47.03], [143.0, 48.33], [144.0, 49.43], [145.0, 50.35], [146.0, 51.07], [147.0, 51.61], [148.0, 52.19], [149.0, 52.91], [150.0, 53.76], [151.0, 54.8], [152.0, 55.98], [153.0, 56.79], [154.0, 57.36], [155.0, 57.82], [156.0, 58.39], [157.0, 58.93], [158.0, 59.54]]"
112.70,115.40,16.70,0.00,15.37,32.07,33.97,38.08,"[[6.2, 0.0], [7.0, 5.51], [8.0, 5.51], [9.0, 5.51], [10.0, 5.51], [11.0, 5.51], [12.0, 5.51], [13.0, 5.51], [14.0, 5.51], [15.0, 5.51], [16.0, 5.51], [17.0, 5.51], [18.0, 5.51], [19.0, 5.51], [20.0, 5.51], [21.0, 5.51], [22.0, 5.51], [23.0, 5.51], [24.0, 5.51], [25.0, 5.51], [26.0, 5.51], [27.0, 5.51], [28.0, 5.51], [29.0, 5.51], [30.0, 5.51], [31.0, 5.51], [32.0, 5.51], [33.0, 5.51], [34.0, 5.51], [35.0, 5.51], [36.0, 5.51], [37.0, 5.51], [38.0, 5.51], [39.0, 5.51], [40.0, 5.51], [41.0, 5.51], [42.0, 5.51], [43.0, 5.51], [44.0, 5.51], [45.0, 5.51], [46.0, 5.51], [47.0, 5.51], [48.0, 5.51], [49.0, 5.51], [50.0, 5.51], [51.0, 5.51], [52.0, 5.51], [53.0, 5.51], [54.0, 5.51], [55.0, 5.51], [56.0, 5.51], [57.0, 5.51], [58.0, 5.51], [59.0, 5.51], [60.0, 5.51], [61.0, 5.51], [62.0, 5.51], [63.0, 5.51], [64.0, 5.51], [65.0, 5.51], [66.0, 5.51], [67.0, 5.51], [68.0, 5.51], [69.0, 5.51], [70.0, 5.51], [71.0, 5.51], [72.0, 5.51], [73.0, 5.51], [74.0, 5.51], [75.0, 5.51], [76.0, 5.51], [77.0, 5.51], [78.0, 5.53], [79.0, 6.37], [80.0, 7.06], [81.0, 7.71], [82.0, 8.14], [83.0, 8.47], [84.0, 8.71], [85.0, 8.93], [86.0, 9.16], [87.0, 9.42], [88.0, 9.77], [89.0, 10.18], [90.0, 10.74], [91.0, 11.54], [92.0, 12.96], [93.0, 13.9], [94.0, 14.12], [95.0, 14.61], [96.0, 14.99], [97.0, 15.5], [98.0, 16.17], [99.0, 16.83], [100.0, 17.41], [101.0, 18.22], [102.0, 19.31], [103.0, 20.01], [104.0, 20.66], [105.0, 21.76], [106.0, 22.38], [107.0, 23.09], [108.0, 23.81], [109.0, 24.5], [110.0, 25.3], [111.0, 26.11], [112.0, 27.26], [113.0, 29.03], [114.0, 31.43], [115.0, 33.97]]"
126.30,128.90,16.03,11.86,15.03,42.93,27.58,59.87,"[[1.0, 6.57], [2.0, 6.57], [3.0, 6.57], [4.0, 6.57], [5.0, 6.57], [6.0, 6.57], [7.1, 6.57], [8.1, 6.57], [9.0, 6.57], [10.0, 6.57], [11.0, 6.57], [12.0, 6.57], [13.0, 6.57], [14.0, 6.57], [15.0, 6.57], [16.0, 6.57], [17.0, 6.57], [18.0, 6.57], [19.0, 6.57], [20.0, 6.57], [21.0, 6.57], [22.0, 6.57], [23.0, 6.57], [24.0, 6.57], [25.0, 6.57], [26.0, 6.57], [27.0, 6.57], [28.0, 6.57], [29.0, 6.57], [30.0, 6.57], [31.0, 6.57], [32.0, 6.57], [33.0, 6.57], [34.0, 6.57], [35.0, 6.57], [36.0, 6.57], [37.0, 6.57], [38.0, 6.57], [39.0, 6.57], [40.0, 6.57], [41.0, 6.57], [42.0, 6.57], [43.0, 6.57], [44.0, 6.57], [45.0, 6.57], [46.0, 6.57], [47.0, 6.57], [48.0, 6.57], [49.0, 6.57], [50.0, 6.57], [51.0, 6.57], [52.0, 6.57], [53.0, 6.57], [54.0, 6.57], [55.0, 6.57], [56.0, 6.57], [57.0, 6.57], [58.0, 6.57], [59.0, 6.57], [60.0, 6.57], [61.0, 6.57], [62.0, 6.57], [63.0, 6.57], [64.0, 6.57], [65.0, 6.57], [66.0, 6.57], [67.0, 6.57], [68.0, 6.57], [69.0, 6.57], [70.0, 6.57], [71.0, 6.57], [72.0, 6.57], [73.0, 6.57], [74.0, 6.57], [75.0, 6.57], [76.0, 6.57], [77.0, 6.57], [78.0, 6.57], [79.0, 6.57], [80.0, 6.57], [81.0, 6.57], [82.0, 6.57], [83.0, 6.57], [84.0, 6.57], [85.0, 7.51], [86.0, 8.28], [87.0, 8.89], [88.0, 9.29], [89.0, 9.72], [90.0, 10.27], [91.0, 11.0], [92.0, 11.94], [93.0, 13.39], [94.0, 13.75], [95.0, 13.91], [96.0, 14.12], [97.0, 14.49], [98.0, 14.89], [99.0, 15.33], [100.0, 15.64], [101.0, 15.97], [102.0, 16.41], [103.0, 16.66], [104.0, 16.89], [105.0, 17.18], [106.0, 17.56], [107.0, 17.94], [108.0, 18.45], [109.0, 18.85], [110.0, 19.27], [111.0, 19.71], [112.0, 19.87], [113.0, 20.03], [114.0, 20.24], [115.0, 20.25], [116.0, 20.35], [117.0, 20.62], [118.0, 20.9], [119.0, 21.21], [120.0, 21.58], [121.0, 21.92], [122.0, 22.34], [123.0, 22.83], [124.0, 23.47], [125.0, 24.23], [126.0, 25.24], [127.0, 26.36], [128.0, 27.58]]"
-0.20,210.60,46.34,48.91,37.56,132.82,73.26,37.16,"[[1.0, 6.16], [2.0, 6.16], [3.0, 6.16], [4.0, 6.16], [5.0, 6.16], [6.0, 6.16], [7.0, 6.16], [8.0, 6.16], [9.0, 6.16], [10.0, 6.16], [11.0, 6.16], [12.0, 6.16], [13.0, 6.16], [14.0, 6.16], [15.0, 6.16], [16.0, 6.16], [17.0, 6.16], [18.0, 6.16], [19.0, 6.16], [20.0, 6.16], [21.0, 6.16], [22.0, 6.16], [23.0, 6.16], [24.0, 6.16], [25.0, 6.16], [26.0, 6.16], [27.0, 6.16], [28.0, 6.16], [29.0, 6.16], [30.0, 6.16], [31.0, 6.16], [32.0, 6.16], [33.0, 6.16], [34.0, 6.16], [35.0, 6.16], [36.0, 6.16], [37.0, 6.16], [38.0, 6.16], [39.0, 6.16], [40.0, 6.16], [41.0, 6.16], [42.0, 6.16], [43.0, 6.16], [44.0, 6.16], [45.0, 6.16], [46.0, 6.16], [47.0, 6.16], [48.0, 6.16], [49.0, 6.16], [50.0, 6.16], [51.0, 6.16], [52.0, 6.16], [53.0, 6.16], [54.0, 6.16], [55.0, 6.16], [56.0, 6.16], [57.0, 6.16], [58.0, 6.16], [59.0, 6.16], [60.0, 6.16], [61.0, 6.16], [62.0, 6.16], [63.0, 6.16], [64.0, 6.16], [65.0, 6.16], [66.0, 6.16], [67.0, 6.16], [68.0, 7.03], [69.0, 7.29], [70.0, 7.79], [71.0, 8.63], [72.0, 9.63], [73.0, 10.44], [74.0, 11.79], [75.0, 13.63], [76.0, 14.73], [77.0, 15.65], [78.0, 16.39], [79.0, 16.96], [80.0, 17.46], [81.0, 18.0], [82.0, 18.53], [83.0, 19.28], [84.0, 20.11], [85.0, 20.89], [86.0, 21.67], [87.0, 22.15], [88.0, 22.3], [89.0, 22.31], [90.0, 22.32], [91.0, 22.41], [92.0, 22.61], [93.0, 22.62], [94.0, 22.62], [95.0, 22.63], [96.0, 22.63], [97.0, 22.63], [98.0, 22.63], [99.0, 22.63], [100.0, 22.63], [101.0, 22.63], [102.0, 22.64], [103.0, 22.64], [104.0, 22.64], [105.0, 22.64], [106.0, 22.64], [107.0, 22.64], [108.0, 22.76], [109.0, 23.17], [110.0, 24.3], [111.0, 25.43], [112.0, 26.54], [113.0, 27.41], [114.0, 28.33], [115.0, 29.33], [116.0, 30.0], [117.0, 30.46], [118.0, 30.9], [119.0, 31.48], [120.0, 32.24], [121.0, 33.45], [122.0, 34.93], [123.0, 36.41], [124.0, 37.51], [125.0, 38.21], [126.0, 38.81], [127.0, 39.37], [128.0, 39.86], [129.0, 40.25], [130.0, 40.46], [131.0, 40.64], [132.0, 40.77], [133.0, 40.82], [134.0, 40.89], [135.0, 41.04], [136.0, 41.09], [137.0, 41.09], [138.0, 41.1], [139.0, 41.11], [140.0, 41.12], [141.0, 41.12], [142.0, 41.13], [143.0, 41.13], [144.0, 41.18], [145.0, 41.23], [146.0, 41.23], [147.0, 41.24], [148.0, 41.24], [149.0, 41.24], [150.0, 41.24], [151.0, 41.24], [152.0, 41.25], [153.0, 41.7], [154.0, 42.02], [155.0, 42.14], [156.0, 42.29], [157.0, 42.59], [158.0, 43.37], [159.0, 43.92], [160.0, 44.31], [161.0, 44.72], [162.0, 45.09], [163.0, 45.58], [164.0, 46.17], [165.0, 46.86], [166.0, 47.52], [167.0, 48.26], [168.0, 48.98], [169.0, 49.52], [170.0, 50.1], [171.0, 50.82], [172.0, 51.59], [173.0, 52.14], [174.0, 52.72], [175.0, 53.36], [176.0, 53.87], [177.0, 54.24], [178.0, 54.6], [179.0, 54.97], [180.0, 55.38], [181.0, 55.67], [182.0, 55.88], [183.0, 56.13], [184.0, 56.38], [185.0, 56.61], [186.0, 56.86], [187.0, 57.11], [188.0, 57.42], [189.0, 57.81], [190.0, 58.19], [191.0, 58.53], [192.0, 58.87], [193.0, 59.29], [194.0, 59.67], [195.0, 60.07], [196.0, 60.58], [197.0, 61.29], [198.0, 62.3], [199.0, 63.69], [200.0, 64.63], [201.0, 65.64], [202.0, 66.6], [203.0, 67.64], [204.0, 68.63], [205.0, 69.65], [206.0, 70.53], [207.0, 71.23], [208.0, 71.84], [209.0, 72.44], [210.0, 73.26]]"
